make,model,year,engine_hp,engine_cylinders,transmission_type,vehicle_style,highway_mpg,city_mpg,price
BMW,1 Series M,2011,335.0,6.0,MANUAL,Coupe,26,19,46135
BMW,1 Series,2011,300.0,6.0,MANUAL,Convertible,28,19,40650
BMW,1 Series,2011,300.0,6.0,MANUAL,Coupe,28,20,36350
BMW,1 Series,2011,230.0,6.0,MANUAL,Coupe,28,18,29450
BMW,1 Series,2011,230.0,6.0,MANUAL,Convertible,28,18,34500
BMW,1 Series,2012,230.0,6.0,MANUAL,Coupe,28,18,31200
BMW,1 Series,2012,300.0,6.0,MANUAL,Convertible,26,17,44100
BMW,1 Series,2012,300.0,6.0,MANUAL,Coupe,28,20,39300
BMW,1 Series,2012,230.0,6.0,MANUAL,Convertible,28,18,36900
BMW,1 Series,2013,230.0,6.0,MANUAL,Convertible,27,18,37200
BMW,1 Series,2013,300.0,6.0,MANUAL,Coupe,28,20,39600
BMW,1 Series,2013,230.0,6.0,MANUAL,Coupe,28,19,31500
BMW,1 Series,2013,300.0,6.0,MANUAL,Convertible,28,19,44400
BMW,1 Series,2013,230.0,6.0,MANUAL,Convertible,28,19,37200
BMW,1 Series,2013,230.0,6.0,MANUAL,Coupe,28,19,31500
BMW,1 Series,2013,320.0,6.0,MANUAL,Convertible,25,18,48250
BMW,1 Series,2013,320.0,6.0,MANUAL,Coupe,28,20,43550
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1992,172.0,6.0,AUTOMATIC,Wagon,20,16,2000
Audi,100,1992,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1992,172.0,6.0,MANUAL,Sedan,21,16,2000
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1993,172.0,6.0,AUTOMATIC,Wagon,20,16,2000
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1993,172.0,6.0,MANUAL,Sedan,24,17,2000
Audi,100,1993,172.0,6.0,MANUAL,Sedan,21,16,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,Wagon,21,16,2000
Audi,100,1994,172.0,6.0,MANUAL,Sedan,22,16,2000
Audi,100,1994,172.0,6.0,MANUAL,Sedan,22,17,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,Sedan,22,16,2000
Audi,100,1994,172.0,6.0,AUTOMATIC,Wagon,21,16,2000
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,27495
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,24995
FIAT,124 Spider,2017,160.0,4.0,MANUAL,Convertible,35,26,28195
Mercedes-Benz,190-Class,1991,130.0,4.0,MANUAL,Sedan,26,18,2000
Mercedes-Benz,190-Class,1991,158.0,6.0,MANUAL,Sedan,25,17,2000
Mercedes-Benz,190-Class,1992,158.0,6.0,MANUAL,Sedan,25,17,2000
Mercedes-Benz,190-Class,1992,130.0,4.0,MANUAL,Sedan,26,18,2000
Mercedes-Benz,190-Class,1993,130.0,4.0,MANUAL,Sedan,26,18,2000
Mercedes-Benz,190-Class,1993,158.0,6.0,MANUAL,Sedan,25,17,2000
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Coupe,35,23,32850
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Convertible,34,23,38650
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Convertible,31,20,48750
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Coupe,35,23,34850
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,Convertible,34,22,40650
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Coupe,31,20,44150
BMW,2 Series,2016,240.0,4.0,MANUAL,Coupe,34,22,32850
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Coupe,30,20,46150
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,Convertible,30,20,50750
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Coupe,31,21,46450
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Convertible,32,21,49050
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Convertible,32,21,51050
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,Coupe,32,21,44450
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Convertible,34,23,38950
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Coupe,35,24,33150
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Coupe,33,24,35150
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,Convertible,33,23,40950
Audi,200,1990,162.0,5.0,AUTOMATIC,Sedan,20,16,2000
Audi,200,1990,162.0,5.0,MANUAL,Wagon,22,15,2000
Audi,200,1990,162.0,5.0,MANUAL,Sedan,23,15,2000
Audi,200,1991,217.0,5.0,MANUAL,Sedan,22,16,2000
Audi,200,1991,217.0,5.0,MANUAL,Wagon,22,16,2000
Audi,200,1991,162.0,5.0,AUTOMATIC,Sedan,20,16,2000
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,25170
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,23950
Chrysler,200,2015,295.0,6.0,AUTOMATIC,Sedan,29,18,29370
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,21995
Chrysler,200,2015,184.0,4.0,AUTOMATIC,Sedan,36,23,26625
Chrysler,200,2015,295.0,6.0,AUTOMATIC,Sedan,29,18,30825
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,21995
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,27795
Chrysler,200,2016,295.0,6.0,AUTOMATIC,Sedan,29,18,31785
Chrysler,200,2016,295.0,6.0,AUTOMATIC,Sedan,29,18,29905
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,22490
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,27570
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,25690
Chrysler,200,2016,184.0,4.0,AUTOMATIC,Sedan,36,23,24490
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,29905
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,31785
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,26685
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,22490
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,25690
Chrysler,200,2017,295.0,6.0,AUTOMATIC,Sedan,28,18,30900
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,27795
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,21995
Chrysler,200,2017,184.0,4.0,AUTOMATIC,Sedan,36,23,24490
Nissan,200SX,1996,115.0,4.0,MANUAL,Coupe,36,26,2000
Nissan,200SX,1996,115.0,4.0,MANUAL,Coupe,36,26,2000
Nissan,200SX,1996,140.0,4.0,MANUAL,Coupe,29,21,2000
Nissan,200SX,1997,140.0,4.0,MANUAL,Coupe,29,21,2000
Nissan,200SX,1997,115.0,4.0,MANUAL,Coupe,35,25,2000
Nissan,200SX,1997,115.0,4.0,MANUAL,Coupe,35,25,2000
Nissan,200SX,1998,115.0,4.0,MANUAL,Coupe,35,25,2000
Nissan,200SX,1998,115.0,4.0,MANUAL,Coupe,35,25,2000
Nissan,200SX,1998,140.0,4.0,MANUAL,Coupe,28,20,2073
Nissan,240SX,1996,155.0,4.0,MANUAL,Coupe,26,19,3713
Nissan,240SX,1996,155.0,4.0,MANUAL,Coupe,26,19,3520
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,3910
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,4182
Nissan,240SX,1997,155.0,4.0,MANUAL,Coupe,26,19,4107
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4299
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4693
Nissan,240SX,1998,155.0,4.0,MANUAL,Coupe,25,20,4107
Volvo,240,1991,114.0,4.0,MANUAL,Wagon,26,19,2000
Volvo,240,1991,114.0,4.0,AUTOMATIC,Wagon,23,18,2000
Volvo,240,1991,114.0,4.0,MANUAL,Sedan,26,19,2000
Volvo,240,1992,114.0,4.0,MANUAL,Sedan,26,19,2000
Volvo,240,1992,114.0,4.0,MANUAL,Wagon,26,19,2000
Volvo,240,1992,114.0,4.0,MANUAL,Sedan,26,19,2000
Volvo,240,1993,114.0,4.0,MANUAL,Sedan,26,19,2000
Volvo,240,1993,114.0,4.0,MANUAL,Wagon,25,18,2000
Mazda,2,2012,100.0,4.0,MANUAL,4dr Hatchback,35,29,16020
Mazda,2,2012,100.0,4.0,MANUAL,4dr Hatchback,35,29,14530
Mazda,2,2012,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,16860
Mazda,2,2012,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,15370
Mazda,2,2013,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,17050
Mazda,2,2013,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,15560
Mazda,2,2013,100.0,4.0,MANUAL,4dr Hatchback,35,29,16210
Mazda,2,2013,100.0,4.0,MANUAL,4dr Hatchback,35,29,14720
Mazda,2,2014,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,17050
Mazda,2,2014,100.0,4.0,AUTOMATIC,4dr Hatchback,34,28,15560
Mazda,2,2014,100.0,4.0,MANUAL,4dr Hatchback,35,29,16210
Mazda,2,2014,100.0,4.0,MANUAL,4dr Hatchback,35,29,14720
BMW,3 Series Gran Turismo,2015,300.0,6.0,AUTOMATIC,4dr Hatchback,30,20,47250
BMW,3 Series Gran Turismo,2015,240.0,4.0,AUTOMATIC,4dr Hatchback,33,22,41850
BMW,3 Series Gran Turismo,2015,240.0,4.0,AUTOMATIC,4dr Hatchback,33,22,41850
BMW,3 Series Gran Turismo,2016,240.0,4.0,AUTOMATIC,4dr Hatchback,34,22,43000
BMW,3 Series Gran Turismo,2016,300.0,6.0,AUTOMATIC,4dr Hatchback,30,20,49200
BMW,3 Series Gran Turismo,2017,320.0,6.0,AUTOMATIC,4dr Hatchback,30,20,49650
BMW,3 Series Gran Turismo,2017,248.0,4.0,AUTOMATIC,4dr Hatchback,33,23,43950
BMW,3 Series,2015,241.0,4.0,AUTOMATIC,Wagon,33,22,41950
BMW,3 Series,2015,335.0,6.0,AUTOMATIC,Sedan,33,25,50150
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,Sedan,35,23,37500
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,Sedan,32,21,43750
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,Sedan,45,32,39000
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,Sedan,33,22,39500
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,Sedan,33,22,39500
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,Sedan,35,23,34950
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,Sedan,30,20,45750
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,Wagon,43,31,43450
